train_size,model,finding,f1,j_stat,mcc
100,pt-radiobert-base-german-cased,Congestion,0.5,0.41,0.38
100,pt-radiobert-base-german-cased,Opacity,0.64,0.23,0.23
100,pt-radiobert-base-german-cased,Effusion,0.69,0.45,0.45
100,pt-radiobert-base-german-cased,Pneumothorax,0,0,0
100,pt-radiobert-base-german-cased,Thoracic drain,0.46,0.59,0.42
100,pt-radiobert-base-german-cased,Venous Catheter,0.79,0.48,0.42
100,pt-radiobert-base-german-cased,Gastric Tube,0.09,0.29,0.1
100,pt-radiobert-base-german-cased,Tracheal tube/canula,0.6,0.27,0.28
100,pt-radiobert-base-german-cased,Misplaced Medical Device,0,0,0
100,bert-base-german-cased,Congestion,0.49,0.37,0.35
100,bert-base-german-cased,Opacity,0.64,0.25,0.25
100,bert-base-german-cased,Effusion,0.64,0.32,0.32
100,bert-base-german-cased,Pneumothorax,0,0,0
100,bert-base-german-cased,Thoracic drain,0.02,0.79,0.09
100,bert-base-german-cased,Venous Catheter,0.84,0.62,0.59
100,bert-base-german-cased,Gastric Tube,0,0,0
100,bert-base-german-cased,Tracheal tube/canula,0.72,0.51,0.51
100,bert-base-german-cased,Misplaced Medical Device,0,0,0
100,pt-radiobert-from-scratch,Congestion,0.47,0.31,0.31
100,pt-radiobert-from-scratch,Opacity,0.68,0.3,0.3
100,pt-radiobert-from-scratch,Effusion,0.61,0.32,0.32
100,pt-radiobert-from-scratch,Pneumothorax,0,0,0
100,pt-radiobert-from-scratch,Thoracic drain,0.05,0.06,0.02
100,pt-radiobert-from-scratch,Venous Catheter,0.83,0.59,0.57
100,pt-radiobert-from-scratch,Gastric Tube,0.07,0.08,0.03
100,pt-radiobert-from-scratch,Tracheal tube/canula,0.6,0.27,0.27
100,pt-radiobert-from-scratch,Misplaced Medical Device,0,0,0
100,bert-base-multilingual-cased,Congestion,0.06,0.02,0.01
100,bert-base-multilingual-cased,Opacity,0.65,0.07,0.06
100,bert-base-multilingual-cased,Effusion,0.55,0.01,0.01
100,bert-base-multilingual-cased,Pneumothorax,0,0,0
100,bert-base-multilingual-cased,Thoracic drain,0.24,0.25,0.17
100,bert-base-multilingual-cased,Venous Catheter,0.78,0.45,0.44
100,bert-base-multilingual-cased,Gastric Tube,0.4,0.59,0.38
100,bert-base-multilingual-cased,Tracheal tube/canula,0.61,0.31,0.32
100,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
200,pt-radiobert-base-german-cased,Congestion,0.4,0.41,0.31
200,pt-radiobert-base-german-cased,Opacity,0.73,0.37,0.33
200,pt-radiobert-base-german-cased,Effusion,0.75,0.55,0.55
200,pt-radiobert-base-german-cased,Pneumothorax,0.14,0.68,0.23
200,pt-radiobert-base-german-cased,Thoracic drain,0.58,0.68,0.54
200,pt-radiobert-base-german-cased,Venous Catheter,0.92,0.82,0.8
200,pt-radiobert-base-german-cased,Gastric Tube,0.89,0.87,0.85
200,pt-radiobert-base-german-cased,Tracheal tube/canula,0.89,0.8,0.81
200,pt-radiobert-base-german-cased,Misplaced Medical Device,0,0,0
200,bert-base-german-cased,Congestion,0.28,0.32,0.21
200,bert-base-german-cased,Opacity,0.71,0.34,0.32
200,bert-base-german-cased,Effusion,0.72,0.57,0.55
200,bert-base-german-cased,Pneumothorax,0.05,0.92,0.15
200,bert-base-german-cased,Thoracic drain,0.77,0.78,0.72
200,bert-base-german-cased,Venous Catheter,0.92,0.83,0.82
200,bert-base-german-cased,Gastric Tube,0.9,0.89,0.87
200,bert-base-german-cased,Tracheal tube/canula,0.77,0.58,0.59
200,bert-base-german-cased,Misplaced Medical Device,0,0,0
200,pt-radiobert-from-scratch,Congestion,0.37,0.35,0.27
200,pt-radiobert-from-scratch,Opacity,0.65,0.18,0.17
200,pt-radiobert-from-scratch,Effusion,0.65,0.42,0.41
200,pt-radiobert-from-scratch,Pneumothorax,0.1,0.59,0.17
200,pt-radiobert-from-scratch,Thoracic drain,0.23,0.27,0.17
200,pt-radiobert-from-scratch,Venous Catheter,0.86,0.66,0.65
200,pt-radiobert-from-scratch,Gastric Tube,0.81,0.82,0.76
200,pt-radiobert-from-scratch,Tracheal tube/canula,0.74,0.55,0.55
200,pt-radiobert-from-scratch,Misplaced Medical Device,0,0,0
200,bert-base-multilingual-cased,Congestion,0.06,0.13,0.05
200,bert-base-multilingual-cased,Opacity,0.7,0.26,0.22
200,bert-base-multilingual-cased,Effusion,0.72,0.47,0.47
200,bert-base-multilingual-cased,Pneumothorax,0,0,0
200,bert-base-multilingual-cased,Thoracic drain,0.29,0.46,0.27
200,bert-base-multilingual-cased,Venous Catheter,0.93,0.87,0.84
200,bert-base-multilingual-cased,Gastric Tube,0.81,0.8,0.75
200,bert-base-multilingual-cased,Tracheal tube/canula,0.68,0.45,0.45
200,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
300,pt-radiobert-base-german-cased,Congestion,0.44,0.38,0.32
300,pt-radiobert-base-german-cased,Opacity,0.72,0.35,0.33
300,pt-radiobert-base-german-cased,Effusion,0.76,0.56,0.56
300,pt-radiobert-base-german-cased,Pneumothorax,0.27,0.47,0.28
300,pt-radiobert-base-german-cased,Thoracic drain,0.69,0.58,0.6
300,pt-radiobert-base-german-cased,Venous Catheter,0.93,0.85,0.84
300,pt-radiobert-base-german-cased,Gastric Tube,0.93,0.9,0.91
300,pt-radiobert-base-german-cased,Tracheal tube/canula,0.85,0.75,0.74
300,pt-radiobert-base-german-cased,Misplaced Medical Device,0,0,0
300,bert-base-german-cased,Congestion,0.42,0.52,0.37
300,bert-base-german-cased,Opacity,0.7,0.33,0.32
300,bert-base-german-cased,Effusion,0.8,0.63,0.63
300,bert-base-german-cased,Pneumothorax,0.41,0.58,0.41
300,bert-base-german-cased,Thoracic drain,0.8,0.7,0.74
300,bert-base-german-cased,Venous Catheter,0.94,0.86,0.85
300,bert-base-german-cased,Gastric Tube,0.94,0.91,0.91
300,bert-base-german-cased,Tracheal tube/canula,0.85,0.72,0.73
300,bert-base-german-cased,Misplaced Medical Device,0,0,0
300,pt-radiobert-from-scratch,Congestion,0.38,0.29,0.24
300,pt-radiobert-from-scratch,Opacity,0.69,0.3,0.29
300,pt-radiobert-from-scratch,Effusion,0.7,0.48,0.48
300,pt-radiobert-from-scratch,Pneumothorax,0.33,0.5,0.33
