train_size,Model,Finding,AUPRC,AUC
200,pt-radiobert-base-german-cased,Congestion,0.47,0.86
200,pt-radiobert-base-german-cased,Opacity,0.7,0.81
200,pt-radiobert-base-german-cased,Effusion,0.78,0.88
200,pt-radiobert-base-german-cased,Pneumothorax,0.4,0.95
200,pt-radiobert-base-german-cased,Thoracic drain,0.73,0.93
200,pt-radiobert-base-german-cased,Venous Catheter,0.96,0.96
200,pt-radiobert-base-german-cased,Gastric Tube,0.93,0.98
200,pt-radiobert-base-german-cased,Tracheal Tube/Canula,0.91,0.96
200,pt-radiobert-base-german-cased,Misplaced Medical Device,0.04,0.95
200,bert-base-german-cased,Congestion,0.48,0.86
200,bert-base-german-cased,Opacity,0.69,0.79
200,bert-base-german-cased,Effusion,0.82,0.9
200,bert-base-german-cased,Pneumothorax,0.27,0.94
200,bert-base-german-cased,Thoracic drain,0.88,0.97
200,bert-base-german-cased,Venous Catheter,0.97,0.97
200,bert-base-german-cased,Gastric Tube,0.95,0.98
200,bert-base-german-cased,Tracheal Tube/Canula,0.8,0.9
200,bert-base-german-cased,Misplaced Medical Device,0.04,0.95
200,pt-radiobert-from-scratch,Congestion,0.41,0.85
200,pt-radiobert-from-scratch,Opacity,0.67,0.78
200,pt-radiobert-from-scratch,Effusion,0.75,0.86
200,pt-radiobert-from-scratch,Pneumothorax,0.37,0.95
200,pt-radiobert-from-scratch,Thoracic drain,0.42,0.87
200,pt-radiobert-from-scratch,Venous Catheter,0.92,0.93
200,pt-radiobert-from-scratch,Gastric Tube,0.92,0.97
200,pt-radiobert-from-scratch,Tracheal Tube/Canula,0.78,0.88
200,pt-radiobert-from-scratch,Misplaced Medical Device,0,0.95
200,bert-base-multilingual-cased,Congestion,0.26,0.82
200,bert-base-multilingual-cased,Opacity,0.65,0.78
200,bert-base-multilingual-cased,Effusion,0.77,0.86
200,bert-base-multilingual-cased,Pneumothorax,0.21,0.94
200,bert-base-multilingual-cased,Thoracic drain,0.48,0.88
200,bert-base-multilingual-cased,Venous Catheter,0.95,0.96
200,bert-base-multilingual-cased,Gastric Tube,0.89,0.97
200,bert-base-multilingual-cased,Tracheal Tube/Canula,0.64,0.83
200,bert-base-multilingual-cased,Misplaced Medical Device,0.01,0.95
400,pt-radiobert-base-german-cased,Congestion,0.74,0.93
400,pt-radiobert-base-german-cased,Opacity,0.76,0.84
400,pt-radiobert-base-german-cased,Effusion,0.88,0.93
400,pt-radiobert-base-german-cased,Pneumothorax,0.63,0.97
400,pt-radiobert-base-german-cased,Thoracic drain,0.91,0.98
400,pt-radiobert-base-german-cased,Venous Catheter,0.96,0.97
400,pt-radiobert-base-german-cased,Gastric Tube,0.95,0.99
