 , ,rBERT, , ,gerBERT, , ,mBERT, , ,sBERT, , 
train size, finding, f1,j_stat,mcc,f1,j_stat,mcc,f1,j_stat,mcc,f1,j_stat,mcc
200,Congestion,0.28,0.32,0.21,0.06,0.13,0.05,0.4,0.41,0.31,0.37,0.35,0.27
200,Opacity,0.71,0.34,0.32,0.7,0.26,0.22,0.73,0.37,0.33,0.65,0.18,0.17
200,Effusion,0.72,0.57,0.55,0.72,0.47,0.47,0.75,0.55,0.55,0.65,0.42,0.41
200,Pneumothorax,0.05,0.92,0.15,0,0,0,0.14,0.68,0.23,0.1,0.59,0.17
200,Thoracic drain,0.77,0.78,0.72,0.29,0.46,0.27,0.58,0.68,0.54,0.23,0.27,0.17
200,Venous Catheter,0.92,0.83,0.82,0.93,0.87,0.84,0.92,0.82,0.8,0.86,0.66,0.65
200,Gastric Tube,0.9,0.89,0.87,0.81,0.8,0.75,0.89,0.87,0.85,0.81,0.82,0.76
200,Tracheal tube/canula,0.77,0.58,0.59,0.68,0.45,0.45,0.89,0.8,0.81,0.74,0.55,0.55
200,Misplaced Medical Device,0,0,0,0,0,0,0,0,0,0,0,0
1000,Congestion,0.85,0.81,0.81,0.86,0.82,0.82,0.86,0.82,0.82,0.53,0.48,0.42
1000,Opacity,0.88,0.76,0.72,0.87,0.71,0.7,0.88,0.74,0.73,0.79,0.54,0.51
1000,Effusion,0.94,0.89,0.89,0.86,0.75,0.75,0.92,0.84,0.85,0.88,0.79,0.79
1000,Pneumothorax,0.66,0.75,0.64,0.56,0.84,0.58,0.79,0.75,0.77,0.41,0.68,0.43
1000,Thoracic drain,0.88,0.83,0.85,0.89,0.85,0.86,0.9,0.84,0.87,0.83,0.81,0.78
1000,Venous Catheter,0.95,0.9,0.89,0.97,0.93,0.93,0.96,0.92,0.91,0.95,0.89,0.88
1000,Gastric Tube,0.96,0.94,0.95,0.97,0.95,0.95,0.96,0.93,0.95,0.94,0.9,0.91
1000,Tracheal tube/canula,0.97,0.95,0.95,0.97,0.94,0.94,0.96,0.92,0.93,0.95,0.9,0.91
1000,Misplaced Medical Device,0.45,0.97,0.53,0.15,0.62,0.22,0.4,0.96,0.49,0,0,0
4000,Congestion,0.9,0.85,0.87,0.9,0.85,0.87,0.89,0.83,0.86,0.86,0.81,0.82
4000,Opacity,0.92,0.85,0.84,0.92,0.84,0.83,0.91,0.81,0.8,0.89,0.78,0.77
4000,Effusion,0.92,0.85,0.85,0.93,0.87,0.88,0.94,0.88,0.88,0.92,0.86,0.86
4000,Pneumothorax,0.89,0.84,0.88,0.85,0.81,0.84,0.86,0.84,0.85,0.86,0.79,0.85
4000,Thoracic drain,0.95,0.91,0.93,0.95,0.92,0.94,0.95,0.91,0.93,0.91,0.88,0.89
4000,Venous Catheter,0.98,0.96,0.95,0.98,0.95,0.95,0.98,0.95,0.95,0.97,0.93,0.93
4000,Gastric Tube,0.97,0.95,0.96,0.98,0.96,0.97,0.97,0.95,0.96,0.96,0.94,0.95
4000,Tracheal tube/canula,0.97,0.95,0.96,0.98,0.96,0.97,0.98,0.96,0.96,0.98,0.95,0.96
4000,Misplaced Medical Device,0.59,0.82,0.61,0.76,0.87,0.76,0.76,0.87,0.76,0.33,0.79,0.4
