 , ,rBERT, ,gerBERT, ,mBERT, ,sBERT, 
train size, finding, AUC,AUPRC,AUC,AUPRC,AUC,AUPRC,AUC,AUPRC
200,Congestion,0.86,0.48,0.82,0.26,0.86,0.47,0.85,0.41
200,Opacity,0.79,0.69,0.78,0.65,0.81,0.7,0.78,0.67
200,Effusion,0.9,0.82,0.86,0.77,0.88,0.78,0.86,0.75
200,Pneumothorax,0.94,0.27,0.94,0.21,0.95,0.4,0.95,0.37
200,Thoracic drain,0.97,0.88,0.88,0.48,0.93,0.73,0.87,0.42
200,Venous Catheter,0.97,0.97,0.96,0.95,0.96,0.96,0.93,0.92
200,Gastric Tube,0.98,0.95,0.97,0.89,0.98,0.93,0.97,0.92
200,Tracheal Tube/Canula,0.9,0.8,0.83,0.64,0.96,0.91,0.88,0.78
200,Misplaced Medical Device,0.95,0.04,0.95,0.01,0.95,0.04,0.95,0
1000,Congestion,0.97,0.88,0.96,0.86,0.97,0.9,0.89,0.6
1000,Opacity,0.94,0.91,0.92,0.87,0.94,0.92,0.87,0.82
1000,Effusion,0.97,0.95,0.95,0.91,0.97,0.94,0.95,0.92
1000,Pneumothorax,0.98,0.72,0.97,0.68,0.99,0.83,0.97,0.62
1000,Thoracic drain,0.98,0.94,0.99,0.97,0.98,0.92,0.97,0.88
1000,Venous Catheter,0.98,0.97,0.98,0.97,0.98,0.98,0.98,0.98
1000,Gastric Tube,0.99,0.96,0.99,0.97,0.99,0.98,0.99,0.95
1000,Tracheal Tube/Canula,0.99,0.98,0.99,0.97,0.99,0.97,0.99,0.97
1000,Misplaced Medical Device,0.97,0.46,0.96,0.25,0.98,0.54,0.95,0.01
4000,Congestion,0.98,0.92,0.98,0.92,0.98,0.92,0.97,0.87
4000,Opacity,0.97,0.94,0.96,0.94,0.95,0.93,0.95,0.93
4000,Effusion,0.97,0.94,0.97,0.94,0.98,0.95,0.97,0.95
4000,Pneumothorax,0.99,0.91,0.99,0.91,0.99,0.88,0.99,0.91
4000,Thoracic drain,0.99,0.95,0.99,0.95,0.99,0.95,0.99,0.94
4000,Venous Catheter,0.99,0.99,0.99,0.98,0.99,0.98,0.99,0.98
4000,Gastric Tube,0.99,0.98,1,0.98,0.99,0.97,0.99,0.97
4000,Tracheal Tube/Canula,0.99,0.98,0.99,0.98,0.99,0.98,0.99,0.98
4000,Misplaced Medical Device,0.99,0.73,0.99,0.76,0.99,0.78,0.98,0.64
