model,step,lrap,eval_loss,data
radbert50,50,0.696203452380953,0.567539417554462,full
radbert100,100,0.782918270975056,0.513423633480829,full
radbert150,150,0.823700079365079,0.438441688106174,full
radbert200,200,0.862766462585033,0.381115630505577,full
radbert250,250,0.907212298752834,0.324391906933179,full
radbert300,300,0.931303174603174,0.279413654454171,full
radbert350,350,0.944384285714285,0.237263310759787,full
radbert400,400,0.950561507936507,0.224268791221437,full
radbert450,450,0.957834444444444,0.195008569411815,full
radbert500,500,0.958933333333333,0.191948521231848,full
radbert550,550,0.963297857142857,0.186310089533291,full
radbert600,600,0.969075793650793,0.175119788814632,full
radbert650,650,0.961435396825397,0.171106520094096,full
radbert700,700,0.969906428571428,0.164268242875262,full
radbert750,750,0.966301111111111,0.167592386522936,full
radbert800,800,0.960583015873016,0.177249873737021,full
radbert850,850,0.969067222222222,0.159750619577983,full
radbert900,900,0.968344761904762,0.165258774208644,full
radbert950,950,0.963654761904762,0.160552753815575,full
radbert1000,1000,0.965998650793651,0.152834357664226,full
radbert1050,1050,0.969980873015873,0.154086095591386,full
radbert1100,1100,0.963865396825397,0.152518704888367,full
radbert1150,1150,0.966952698412698,0.159011655087982,full
radbert1200,1200,0.972833888888889,0.143712536210106,full
radbert1250,1250,0.970674285714286,0.14818972798567,full
radbert1300,1300,0.97091119047619,0.148326120028893,full
radbert1350,1350,0.965139761904762,0.149773541837931,full
radbert1400,1400,0.968813492063492,0.139679404241698,full
radbert1450,1450,0.967106507936508,0.143509689038472,full
radbert1500,1500,0.968635396825396,0.14441320385843,full
radbert1550,1550,0.973850952380952,0.135044552917991,full
radbert1600,1600,0.975211984126983,0.139481755003097,full
radbert1650,1650,0.966425873015873,0.164950933883942,full
radbert1700,1700,0.974727063492064,0.140400477492857,full
radbert1750,1750,0.971777777777778,0.157360584874238,full
radbert1800,1800,0.970038095238095,0.139254098048522,full
radbert1850,1850,0.976058412698412,0.138135101941843,full
radbert1900,1900,0.973960079365079,0.142870773487384,full
radbert1950,1950,0.967293095238095,0.149175268730947,full
radbert2000,2000,0.970375634920635,0.139077263987727,full
radbert2050,2050,0.975343253968254,0.139940597412605,full
radbert2100,2100,0.973000952380952,0.138301704374571,full
radbert2150,2150,0.971011825396825,0.142606980625599,full
radbert2200,2200,0.97311992063492,0.134800143776432,full
radbert2250,2250,0.970057063492063,0.143373111942931,full
radbert2300,2300,0.971134365079365,0.137896407602562,full
radbert2350,2350,0.972580555555555,0.143061064346324,full
radbert2400,2400,0.972547063492063,0.139203238434025,full
radbert2450,2450,0.971493968253968,0.13509974353725,full
radbert2500,2500,0.969161111111111,0.142066278214019,full
radbert2550,2550,0.973685714285714,0.144182939378042,full
radbert2600,2600,0.97571746031746,0.139136833611817,full
radbert2650,2650,0.971672222222222,0.147334771186468,full
radbert2700,2700,0.970543492063492,0.144646015772153,full
radbert2750,2750,0.970104444444444,0.140493516736324,full
radbert2800,2800,0.967845,0.1562631690786,full
radbert2850,2850,0.972639523809524,0.145534637103242,full
radbert2900,2900,0.973083412698413,0.144089338162707,full
radbert2950,2950,0.973846904761905,0.14550408001043,full
radbert3000,3000,0.971459206349206,0.1472747961414,full
radbert3050,3050,0.974978968253968,0.145845341259643,full
radbert3100,3100,0.972037063492063,0.147937428028811,full
radbert3150,3150,0.972586111111111,0.147911808778724,full
radbert3200,3200,0.976582619047619,0.145331394222994,full
radbert3250,3250,0.97510619047619,0.147015064466922,full
radbert3300,3300,0.970147619047619,0.145835462721094,full
radbert3350,3350,0.971729126984127,0.152495803252336,full
radbert3400,3400,0.972455634920635,0.154050724654798,full
radbert3450,3450,0.972102380952381,0.153088602414798,full
radbert3500,3500,0.966902777777777,0.15423244932696,full
radbert3550,3550,0.967314682539682,0.158752359908133,full
radbert3600,3600,0.970500555555556,0.15604503346341,full
radbert3650,3650,0.972275793650793,0.155847220267687,full
radbert3700,3700,0.976109126984127,0.152804633986855,full
radbert3750,3750,0.974338888888889,0.149600175689788,full
radbert3800,3800,0.968446666666667,0.157584368325179,full
radbert3850,3850,0.965571349206349,0.164374049612513,full
radbert3900,3900,0.971091428571429,0.161684537661218,full
radbert3950,3950,0.973303809523809,0.16027578151977,full
radbert4000,4000,0.969561904761905,0.155135112341552,full
radbert4050,4050,0.969952222222222,0.165879210649383,full
radbert4100,4100,0.976618809523809,0.15973772461127,full
radbert4150,4150,0.971820873015873,0.16208485210137,full
radbert4200,4200,0.972476984126984,0.160985109551499,full
radbert4250,4250,0.970422857142857,0.158836753063259,full
radbert4300,4300,0.973552222222222,0.15975870947457,full
radbert4350,4350,0.973468333333334,0.159349704235201,full
radbert4400,4400,0.972216904761905,0.164451761319051,full
radbert4450,4450,0.972813968253968,0.162715836790287,full
radbert4500,4500,0.975172301587302,0.158706135463916,full
radbert4550,4550,0.975951031746031,0.1551278433319,full
radbert4600,4600,0.974663968253968,0.156815564045535,full
radbert4650,4650,0.973795476190476,0.160572361504097,full
radbert4700,4700,0.977639523809524,0.160772416001511,full
radbert4750,4750,0.973194126984127,0.164034308592183,full
radbert4800,4800,0.97466873015873,0.163930734722979,full
radbert4850,4850,0.974599841269841,0.164712187087548,full
radbert4900,4900,0.975872619047619,0.165241538643068,full
radbert4950,4950,0.975721111111111,0.164965413289056,full
radbert5000,5000,0.974676190476191,0.165721533450461,full
radbert5050,5050,0.976211746031746,0.165402498561889,full
radbert5100,5100,0.971752857142857,0.167306491062932,full
radbert5150,5150,0.97405619047619,0.16717835992486,full
radbert5200,5200,0.975352380952381,0.165938893990916,full
radbert5250,5250,0.976750238095238,0.167556499027544,full
radbert5300,5300,0.974898412698413,0.167634664635573,full
radbert5350,5350,0.972287301587302,0.168527950140988,full
radbert5400,5400,0.973659365079365,0.168066243530207,full
radbert5450,5450,0.973656984126984,0.167903790479556,full
radbert5500,5500,0.97573492063492,0.165768678662264,full
radbert5550,5550,0.975091746031746,0.16546597569767,full
radbert5600,5600,0.972953968253968,0.167028576076504,full
radbert5650,5650,0.973351587301587,0.168399671632205,full
radbert5700,5700,0.97307380952381,0.168346219119571,full
radbert5750,5750,0.973601428571428,0.168473547804982,full
radbert5800,5800,0.973768095238095,0.168297915069002,full
radbert5850,5850,0.973768095238095,0.168388942234396,full
radbert588,588,0.964032936507936,0.181935098731802,full
radbert1176,1176,0.97034373015873,0.153352639209183,full
radbert1764,1764,0.970988571428571,0.135799322720794,full
radbert2352,2352,0.972493650793651,0.143196044652353,full
radbert2940,2940,0.974229206349207,0.145539012959316,full
radbert3528,3528,0.968311507936508,0.155901612640019,full
radbert4116,4116,0.97193,0.162722083954288,full
radbert4704,4704,0.977392301587302,0.161640477019347,full
radbert5292,5292,0.974346031746032,0.167721580477461,full
radbert5880,5880,0.973768095238095,0.168359606585924,full
fsbert588,588,0.94209253968254,0.229120991177975,full
fsbert1176,1176,0.966385476190476,0.176939334838636,full
fsbert1764,1764,0.968436349206349,0.154354320159034,full
fsbert2352,2352,0.970903015873016,0.152069040766311,full
fsbert2940,2940,0.965070158730159,0.157096675582348,full
fsbert3528,3528,0.966468492063492,0.168791232926268,full
fsbert4116,4116,0.968095238095238,0.172966135887518,full
fsbert4704,4704,0.96714380952381,0.181020659158036,full
fsbert5292,5292,0.970810476190476,0.178450213464361,full
fsbert5880,5880,0.970054841269841,0.178997697131265,full
gerbert588,588,0.956151428571428,0.210122629763588,full
gerbert1176,1176,0.974044682539682,0.150164817770322,full
gerbert1764,1764,0.974603015873016,0.13179963096858,full
gerbert2352,2352,0.972774841269841,0.127670872867817,full
gerbert2940,2940,0.967287777777777,0.137819226934678,full
gerbert3528,3528,0.969781746031746,0.148638143411113,full
gerbert4116,4116,0.973408174603174,0.151692747175398,full
gerbert4704,4704,0.971066904761905,0.149157283029386,full
gerbert5292,5292,0.971580634920635,0.155354570937417,full
gerbert5880,5880,0.972897301587302,0.155349478598625,full
multibert588,588,0.922886984126984,0.293472996306798,full
multibert1176,1176,0.967459580498866,0.166233284132821,full
multibert1764,1764,0.970077936507936,0.14918916237851,full
multibert2352,2352,0.976217380952381,0.140861316066649,full
multibert2940,2940,0.972916111111111,0.149814485882719,full
multibert3528,3528,0.96833380952381,0.140134625742951,full
multibert4116,4116,0.97680246031746,0.131263567607791,full
multibert4704,4704,0.966373650793651,0.14741254300766,full
multibert5292,5292,0.969724285714286,0.145513606826878,full
multibert5880,5880,0.971478571428571,0.146097161821903,full
fsbert50,50,0.702233293650794,0.542120426893234,full
fsbert100,100,0.750267182539682,0.50262735902317,full
fsbert150,150,0.818182278911564,0.436059382699785,full
fsbert200,200,0.852088013038548,0.394719362258911,full
fsbert250,250,0.890565155895691,0.352666017318529,full
fsbert300,300,0.892193231292517,0.340332268012894,full
fsbert350,350,0.92668164399093,0.325575889339523,full
fsbert400,400,0.919717596371882,0.298204268491457,full
fsbert450,450,0.933812380952381,0.255801653105115,full
fsbert500,500,0.939897301587301,0.249880632947362,full
fsbert550,550,0.944418390022675,0.229935900559501,full
fsbert600,600,0.952597936507936,0.245180274404231,full
fsbert650,650,0.950640317460317,0.218192727674568,full
fsbert700,700,0.94880111111111,0.211682196765665,full
fsbert750,750,0.957213412698412,0.195986225846268,full
fsbert800,800,0.958460555555555,0.192366375513966,full
fsbert850,850,0.963370079365079,0.185847902818332,full
fsbert900,900,0.96411119047619,0.191314600408077,full
fsbert950,950,0.964998174603174,0.175722189484135,full
fsbert1000,1000,0.967353412698412,0.171394588218795,full
fsbert1050,1050,0.965881984126984,0.17252968913979,full
fsbert1100,1100,0.96539373015873,0.172061587432547,full
fsbert1150,1150,0.962550476190476,0.169096713323915,full
fsbert1200,1200,0.957210158730158,0.186100819990748,full
fsbert1250,1250,0.961173492063491,0.176980680416501,full
fsbert1300,1300,0.963808015873016,0.162740907498768,full
fsbert1350,1350,0.968701031746032,0.153269536024521,full
fsbert1400,1400,0.967882539682539,0.167001786390467,full
fsbert1450,1450,0.961347063492063,0.15560920382776,full
fsbert1500,1500,0.96861880952381,0.167798304605106,full
fsbert1550,1550,0.968981428571428,0.15650153429144,full
fsbert1600,1600,0.965741507936508,0.164387880218408,full
fsbert1650,1650,0.960025873015873,0.167363076396878,full
fsbert1700,1700,0.965660317460318,0.156720945108978,full
fsbert1750,1750,0.969354444444444,0.154543580605634,full
fsbert1800,1800,0.965267222222222,0.157994926951471,full
fsbert1850,1850,0.969488412698412,0.156461551105456,full
fsbert1900,1900,0.96980492063492,0.152414141932414,full
fsbert1950,1950,0.969742936507936,0.154421303155167,full
fsbert2000,2000,0.963739841269841,0.159975173897923,full
fsbert2050,2050,0.962321507936508,0.158395164542728,full
fsbert2100,2100,0.960957777777778,0.153841149002787,full
fsbert2150,2150,0.972029841269841,0.151124606293345,full
fsbert2200,2200,0.969925714285714,0.155296071595143,full
fsbert2250,2250,0.97281373015873,0.144507561559005,full
fsbert2300,2300,0.975723333333333,0.147976390987871,full
fsbert2350,2350,0.974218650793651,0.147878598953996,full
fsbert2400,2400,0.96656746031746,0.16293251872181,full
fsbert2450,2450,0.971268015873016,0.158458583086493,full
fsbert2500,2500,0.970054047619047,0.150669988244772,full
fsbert2550,2550,0.968165158730158,0.15844494107342,full
fsbert2600,2600,0.963911587301587,0.16557960856765,full
fsbert2650,2650,0.959865714285714,0.166218931121486,full
fsbert2700,2700,0.96879126984127,0.16105993718855,full
fsbert2750,2750,0.964767936507936,0.164597436637869,full
fsbert2800,2800,0.963142936507936,0.167409648320505,full
fsbert2850,2850,0.968595079365079,0.157212721464771,full
fsbert2900,2900,0.964423015873016,0.160532296383901,full
fsbert2950,2950,0.966790555555555,0.159590266260599,full
fsbert3000,3000,0.968388253968254,0.157723606785848,full
fsbert3050,3050,0.968686349206349,0.162234163591786,full
fsbert3100,3100,0.969352063492063,0.163871171292923,full
fsbert3150,3150,0.964283888888889,0.167413352205167,full
fsbert3200,3200,0.967206428571429,0.166443631348629,full
fsbert3250,3250,0.968009761904762,0.170612352368023,full
fsbert3300,3300,0.965778492063492,0.170474829137444,full
fsbert3350,3350,0.97000746031746,0.163997428683889,full
fsbert3400,3400,0.965060317460317,0.172587318759826,full
fsbert3450,3450,0.960393888888889,0.170562353251236,full
fsbert3500,3500,0.958262539682539,0.176976509155735,full
fsbert3550,3550,0.962243333333333,0.171787761536146,full
fsbert3600,3600,0.970757777777778,0.165561284589034,full
fsbert3650,3650,0.966538888888889,0.16596508561264,full
fsbert3700,3700,0.969228650793651,0.167625852077017,full
fsbert3750,3750,0.967562936507937,0.174815151988277,full
fsbert3800,3800,0.964529444444444,0.176168756293399,full
fsbert3850,3850,0.966730396825397,0.171780554089873,full
fsbert3900,3900,0.96564126984127,0.17290901947057,full
fsbert3950,3950,0.970061904761905,0.169365395170947,full
fsbert4000,4000,0.970573968253968,0.167299840037548,full
fsbert4050,4050,0.97103746031746,0.169022863043383,full
fsbert4100,4100,0.965918888888889,0.178421446225709,full
fsbert4150,4150,0.966754206349206,0.177494857992445,full
fsbert4200,4200,0.964526587301587,0.171882975417825,full
fsbert4250,4250,0.968449047619048,0.173340050814052,full
fsbert4300,4300,0.968092857142857,0.171154934868571,full
fsbert4350,4350,0.961590158730159,0.177460767920055,full
fsbert4400,4400,0.969595317460318,0.175170831751847,full
fsbert4450,4450,0.966354126984127,0.176238617431077,full
fsbert4500,4500,0.962115317460317,0.180468512920751,full
fsbert4550,4550,0.963496587301587,0.173988087841916,full
fsbert4600,4600,0.967259126984127,0.175625873670455,full
fsbert4650,4650,0.967324920634921,0.17852994860963,full
fsbert4700,4700,0.966973968253968,0.1800063785816,full
fsbert4750,4750,0.970360476190476,0.179181144454531,full
fsbert4800,4800,0.968369841269841,0.182261438301158,full
fsbert4850,4850,0.969665555555556,0.173504321776804,full
fsbert4900,4900,0.969578571428572,0.175562820729933,full
fsbert4950,4950,0.968469285714285,0.17539334561794,full
fsbert5000,5000,0.968324047619048,0.176179152602951,full
fsbert5050,5050,0.967241111111111,0.175368908947955,full
fsbert5100,5100,0.969083174603175,0.17934654625724,full
fsbert5150,5150,0.970694206349206,0.174481523008869,full
fsbert5200,5200,0.970232222222222,0.178571147748107,full
fsbert5250,5250,0.966857380952381,0.175027945204564,full
fsbert5300,5300,0.970350158730159,0.178502978150925,full
fsbert5350,5350,0.968733333333333,0.177323175313336,full
fsbert5400,5400,0.968941507936508,0.177255476314929,full
fsbert5450,5450,0.968063333333333,0.178288763344643,full
fsbert5500,5500,0.970226428571429,0.177691420739783,full
fsbert5550,5550,0.968655,0.177923712384192,full
fsbert5600,5600,0.969563333333333,0.178281545202943,full
fsbert5650,5650,0.969315555555556,0.178307922638302,full
fsbert5700,5700,0.97179373015873,0.178282004071488,full
fsbert5750,5750,0.970815555555556,0.178495553536488,full
fsbert5800,5800,0.970250079365079,0.178828788389053,full
fsbert5850,5850,0.970025079365079,0.179035171112489,full
gerbert50,50,0.718763486394557,0.554038084215588,full
gerbert100,100,0.71374287414966,0.527732245505802,full
gerbert150,150,0.776445595238094,0.470933146419979,full
gerbert200,200,0.851036780045351,0.401802020413535,full
gerbert250,250,0.883095793650793,0.353609769590317,full
gerbert300,300,0.916406031746032,0.324900950704302,full
gerbert350,350,0.909872142857142,0.321601378539252,full
gerbert400,400,0.939023968253968,0.265797225255815,full
gerbert450,450,0.941026587301587,0.25579046611748,full
gerbert500,500,0.952290555555556,0.220020962967759,full
gerbert550,550,0.955108968253968,0.211881594998496,full
gerbert600,600,0.954159897959183,0.211439887327807,full
gerbert650,650,0.964518707482993,0.181191833246322,full
gerbert700,700,0.965838548752835,0.175543149075811,full
gerbert750,750,0.96715402494331,0.180021969276288,full
gerbert800,800,0.967027777777778,0.174323259542386,full
gerbert850,850,0.960639126984127,0.175715773529004,full
gerbert900,900,0.964470555555555,0.158651713636659,full
gerbert950,950,0.963825238095238,0.166964933985756,full
gerbert1000,1000,0.968746825396825,0.160298606646912,full
gerbert1050,1050,0.967071428571428,0.168567364828454,full
gerbert1100,1100,0.969538333333333,0.155733553278777,full
gerbert1150,1150,0.973123888888889,0.151859778260428,full
gerbert1200,1200,0.971506587301587,0.155615585250041,full
gerbert1250,1250,0.975002063492063,0.161017690386091,full
gerbert1300,1300,0.972179444444444,0.149863800743506,full
gerbert1350,1350,0.974544285714286,0.151276771186127,full
gerbert1400,1400,0.973646428571428,0.14777768710776,full
gerbert1450,1450,0.971823015873015,0.148317187167113,full
gerbert1500,1500,0.969935555555555,0.148938379087855,full
gerbert1550,1550,0.971845476190476,0.145694008599671,full
gerbert1600,1600,0.970963095238095,0.159135679078717,full
gerbert1650,1650,0.963039999999999,0.149177884683013,full
gerbert1700,1700,0.972720634920635,0.145351810439948,full
gerbert1750,1750,0.978617301587301,0.138733415524401,full
gerbert1800,1800,0.978145238095238,0.134057230123925,full
gerbert1850,1850,0.971987063492063,0.14480971320281,full
gerbert1900,1900,0.971806349206349,0.143731652034654,full
gerbert1950,1950,0.975051904761904,0.130758891650845,full
gerbert2000,2000,0.970714206349206,0.14382140400509,full
gerbert2050,2050,0.975930396825397,0.142551086044737,full
gerbert2100,2100,0.967680714285714,0.137055470415997,full
gerbert2150,2150,0.972944682539682,0.133534196320744,full
gerbert2200,2200,0.97529,0.130774304034218,full
gerbert2250,2250,0.967532936507936,0.138517949937118,full
gerbert2300,2300,0.970482142857143,0.128501876419972,full
gerbert2350,2350,0.97377246031746,0.127039683509677,full
gerbert2400,2400,0.97492007936508,0.129901233291815,full
gerbert2450,2450,0.971581507936508,0.139093215325995,full
gerbert2500,2500,0.973530396825397,0.143397283385552,full
gerbert2550,2550,0.970227301587302,0.13828577235755,full
gerbert2600,2600,0.972444682539683,0.140773562270971,full
gerbert2650,2650,0.975538571428571,0.132087319838031,full
gerbert2700,2700,0.974881428571429,0.133868269178839,full
gerbert2750,2750,0.975077698412698,0.139132695982144,full
gerbert2800,2800,0.973258174603174,0.1426754464351,full
gerbert2850,2850,0.974348015873015,0.141649400963197,full
gerbert2900,2900,0.972427857142857,0.148039210292082,full
gerbert2950,2950,0.970740396825397,0.137490179493195,full
gerbert3000,3000,0.97500373015873,0.138718518118064,full
gerbert3050,3050,0.972552777777778,0.139670576042836,full
gerbert3100,3100,0.972783571428571,0.144280827323359,full
gerbert3150,3150,0.974108015873016,0.143677699453537,full
gerbert3200,3200,0.973094285714286,0.138908690166852,full
gerbert3250,3250,0.97512626984127,0.138063745410551,full
gerbert3300,3300,0.97299246031746,0.135409782478024,full
gerbert3350,3350,0.970332380952381,0.137326704826029,full
gerbert3400,3400,0.972056031746032,0.147042345329528,full
gerbert3450,3450,0.969741666666667,0.145035249994151,full
gerbert3500,3500,0.973058571428571,0.146869558929687,full
gerbert3550,3550,0.98116119047619,0.136270065732773,full
gerbert3600,3600,0.979393968253968,0.142266833592975,full
gerbert3650,3650,0.973436507936508,0.140505498437773,full
gerbert3700,3700,0.975048968253968,0.143655739562024,full
gerbert3750,3750,0.977262301587301,0.145044077113862,full
gerbert3800,3800,0.970865079365079,0.143280049335093,full
gerbert3850,3850,0.979907777777778,0.141391483002475,full
gerbert3900,3900,0.97372746031746,0.142919746449306,full
gerbert3950,3950,0.975526904761905,0.146004613614567,full
